,Name,Birth_Year,Death_Year,Age,Birthplace,Death_Location,Group
137,Nathaniel Wing,1646,1722,76,"Sandwich, MA","Sandwich, MA",Men
138,Elizabeth Banks,1646,1682,36,"York, ME","Scituate, MA",Women
139,Abigail Cloyse,1646,1704,58,Unknown,Unknown,Women
140,Josiah Litchfield,1647,1707,60,Scituate,Scituate,Men
141,Elizabeth Gill,1647,1693,46,"Hingham, MA","""",Women
142,Margaret Harding,1647,1705,58,Unknown,Unknown,Women
143,Nathaniel Brown,1648,1717,69,Unknown,Unknown,Men
144,Sarah Pearson,1648,1689,41,"Lyme, CT","Lynn, MA",Women
145,Stephen Farr,1649,1720,71,"Enfield, Eng","Concord, MA",Men
146,Mary Taylor,1649,1699,50,"Concord, MA",Unknown,Women
147,Mary Wetmore,1649,1718,69,massachusetts,Scituate,Women
148,Israel Nichols,1650,1733,83,Hingham,Cohasset MA,Men
149,Gershamn Ewell,1650,1718,68,"Scituate, MA",Unknown,Men
150,Stephen Greenleaf,1652,1713,61,Unknown,Unknown,Men
151,Joseph Parker,1653,1725,72,GreatBunstad Eng,"Groton, MA",Men
152,John Townsend,1653,1726,73,"Reading, MA","Lynn, MA",Men
153,Mary Rowley,1653,1696,43,massachusetts,MA,Women
154,John Weeks,1655,1730,75,Marthas Vineyard,"Falmouth, MA",Men
155,Judith Perkins,1655,1748,93,"Ipswich, MA",7s&d,Women
156,Mary Turner,1658,1704,46,"Scituate, MA","""",Women
157,Samuel Woods,1660,1712,52,"Cambridge, MA",Unknown,Men
158,Israel Whitcomb,1661,1733,72,"Scituate, MA",Scituate,Men
159,Benjamin Studley,1661,1736,75,"Boston, MA","Scituate, MA",Men
160,Sarah Hatch,1664,1732,68,"Falmouth, MA","Sandwich, MA",Women
161,John Vinal,1665,1748,83,Scituate,Unknown,Men
162,Peter Joslin,1665,1759,94,Massachusetts,"""",Men
163,Mary Sumner,1665,1723,58,Lancaster MA,"Hingham, MA",Women
164,Peter Blackmer,1667,1717,50,"Scituate, MA","Scituate, MA",Men
165,Hannah Farrell,1667,1739,72,"Groton, MA","Leominster, MA",Women
166,Joseph Wheelock,1672,1752,80,Unknown,Unknown,Men
167,Daniel Williams,1672,1725,53,"Manchester, MA","""",Men
168,Mary Stoddard,1672,1734,62,"Hingham, MA",Unknown,Women
169,Elizabeth (Blackmer),1673,1711,38,Plymouth,"Rochester, MA",Women
170,Joanna Whitcomb,1673,1717,44,Unknown,Unknown,Women
171,Sarah Andrews,1674,1734,60,Unknown,Unknown,Women
172,Alice Allen,1674,1744,70,"Manchester, MA",Unknown,Women
173,Jacob Burgess,1676,1769,93,Sandwich MA,Sandwich MA,Men
174,Andrew Dodge,1676,1747,71,Unknown,Unknown,Men
175,Richard King,1677,1702,25,"Lynn, MA","Boston, MA",Men
176,Sarah Burnham,1678,1729,51,Unknown,Unknown,Women
177,Nicholas Litchfield,1680,1750,70,"Scituate, MA","Scituate, MA",Men
178,Jacob Brown,1680,1769,89,Unknown,"Ipswich, MA",Men
179,Jonathan Dodge,1680,1756,76,Unknown,"Beverly, MA",Men
180,Daniel Greenleaf,1680,1763,83,Newbury MA,Boston,Men
181,Abigail Rogers,1681,1720,39,"Ipswich, MA","Littleton, MA",Women
182,Edmund Morey,1683,1727,44,"Milton, MA",Unknown,Men
183,Elizabeth Washburn,1684,1765,81,"Bridgewater, MA","Bridgewater, MA",Women
184,Elizabeth Parker,1684,1743,59,"Chelmsford, MA","Dunstable, MA",Women
185,S,1685,1743,58,"Swansea, MA","Dunstable, MA",Men
186,John Benson,1686,1770,84,"Hull, MA","Bridgewater, MA",Men
187,Mary Farr,1686,1748,62,"Billerica, MA","Littleton, MA",Women
188,Nathaniel Wing,1688,1764,76,Sandwich MA,Unknown,Men
189,Ebenezer Townsend,1689,1753,64,"Lynn, MA","Concord, MA",Men
190,Samuel Litchfield,1690,1767,77,"Scituate, MA",Unknown,Men
191,Daniel Tower,1692,1774,82,"Hingham, MA","Cohasset, MA",Men
192,Nathaniel Hatch,1693,1748,55,Falmouth MA,Unknown,Men
193,Sarah Lincoln,1694,1754,60,"Hingham, MA","Hingham, MA",Women
194,Joanna (Townsend),1695,1720,25,"Concord, MA","Concord, MA",Women
195,Jemima Blackmer,1696,1750,54,"Rochester, MA","Rochester, MA",Women
196,Mary Weeks,1696,1750,54,Marthas Vineyard,Unknown,Women
197,Gabriel Pushee,1700,1775,75,Unknown,"Winchenson, MA",Men
198,Peter Joslin,1700,1771,71,"Lancaster, MA","Lancaster, MA",Men
199,Alice Woods,1700,1784,84,"Groton, MA",Unknown,Women
200,Richard King,1701,1771,70,Boston,"Littleton, MA",Men
201,Daniel Greenleaf,1702,1795,93,"Cambridge, MA","Bolton, MA",Men
202,Silence Nichols,1702,1762,60,"Hingham, MA","Bolton, MA",Women
203,Sarah Williams,1703,1775,72,"Manchester, MA","Worcester, MA",Women
204,Joseph Wheelock,1705,1774,69,Unknown,Unknown,Men
205,Josiah Litchfield,1706,1787,81,"Scituate, MA","Scituate, MA",Men
206,Thomas Dodge,1707,1754,47,North Beverly MA,Hamilton MA,Men
207,Nicholas Litchfield,1708,1780,72,Scituate,Scituate,Men
208,Samuel Burgess,1711,1811,100,"Sandwich, MA",Unknown,Men
209,John Whitcomb,1712,1787,75,Hingham MA,Hingham MA,Men
210,Susanna Bennett,1712,1769,57,Unknown,Unknown,Women
211,Simon Brown,1713,1804,91,Unknown,"Hamilton, MA",Men
212,Susannah Morey,1713,1799,86,Unknown,Scituate MA,Women
213,Robert Estabrook,1715,1812,97,Concord MA,Concord MA,Men
214,Samuel Litchfield,1715,1767,52,Scituate,Unknown,Men
215,Sarah Tower,1717,1802,85,Cohasset MA,Scituate MA,Women
216,Olive Townsend,1719,1760,41,"Westford, MA",Unknown,Women
217,Richard Day,1720,1774,54,IRELAND,Winchendon MA,Men
218,Priscilla Vinal,1723,1804,81,Unknown,Unknown,Women
219,Peter Joslin,1724,1802,78,Lancaster MA,Winchendon MA,Men
220,Ruth Pushee,1727,1807,80,Ipswich MA,Wincendon MA,Women
221,Mary King,1730,1818,88,Leominster MA,Leominster,Women
222,Stephen Brown,1735,1819,84,Unknown,"Hamilton, MA",Men
223,Abner Wheelock,1735,1790,55,Unknown,Unknown,Men
224,James Litchfield,1738,1786,48,"Scituate, MA","Scituate, MA",Men
225,Daniel Litchfield,1742,1820,78,"Scituate, MA","Scituate, MA",Men
226,Abraham Estabrook,1744,1830,86,"Concord, MA",Unknown,Men
